"id","topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","topic9","topic10","timestamp","user_id"
36,0,0,0,1,0,0,0,0,0,0,"2019-10-19 07:20:30",685
37,0,0,0,1,0,0,0,0,0,0,"2019-10-19 07:20:32",685
38,0,0,0,0,0,0,0,0,1,0,"2019-10-19 07:27:10",685
39,0,0,0,0,0,0,0,1,0,0,"2019-10-19 07:27:35",685
40,0,1,0,0,0,0,0,0,0,0,"2019-10-19 09:07:51",685
41,0,0,0,0,0,0,0,0,0,0,"2019-10-19 09:09:03",685
42,1,0,0,0,0,0,0,0,0,0,"2019-10-19 09:10:01",685
43,1,0,0,0,0,0,0,0,0,0,"2019-10-19 09:10:04",685
44,0,0,0,0,0,0,0,0,1,0,"2019-10-19 09:11:13",685
45,0,1,0,0,0,0,0,0,0,0,"2019-10-19 09:12:14",685
46,0,1,0,0,0,0,0,0,0,0,"2019-10-19 10:07:40",685
47,0,0,0,0,0,0,0,0,0,0,"2019-10-19 10:49:13",721
48,1,1,0,0,0,0,0,1,0,0,"2019-10-19 12:15:46",535
49,1,0,0,0,0,1,0,1,0,0,"2019-10-19 12:18:07",535
50,0,0,0,0,0,0,0,0,1,0,"2019-10-19 13:45:09",346
51,0,0,0,0,0,0,0,1,1,1,"2019-10-19 13:52:14",346
52,0,0,0,0,0,0,0,0,1,0,"2019-10-19 15:33:12",54
53,1,1,0,0,0,0,0,0,0,1,"2019-10-19 18:15:28",182
54,1,1,0,0,0,0,0,0,1,0,"2019-10-19 18:17:05",182
55,1,0,0,0,0,0,0,0,1,1,"2019-10-19 18:19:07",182
56,1,1,0,0,0,0,0,0,0,0,"2019-10-19 19:30:18",765
57,0,0,0,0,0,0,0,0,0,0,"2019-10-19 21:05:55",32
58,0,0,0,0,0,0,0,0,0,1,"2019-10-19 21:07:40",32
59,1,0,0,1,0,0,0,0,0,0,"2019-10-19 21:36:09",171
60,0,1,1,1,0,0,0,0,0,0,"2019-10-19 22:54:20",62
61,1,0,0,1,0,0,0,0,1,0,"2019-10-19 23:06:28",54
62,0,0,0,0,0,0,0,0,0,0,"2019-10-20 01:39:31",226
63,0,0,0,0,0,0,0,1,0,0,"2019-10-20 04:37:38",693
64,0,0,0,0,0,0,0,1,0,0,"2019-10-20 04:37:40",693
65,0,0,0,0,0,0,0,0,0,0,"2019-10-20 04:37:53",693
66,0,0,0,0,0,0,0,0,1,0,"2019-10-20 09:11:34",370
67,1,0,0,0,0,0,0,0,0,0,"2019-10-20 09:12:39",370
68,0,0,0,0,0,0,0,0,1,0,"2019-10-20 10:23:45",346
69,0,1,0,0,0,0,0,1,0,0,"2019-10-20 13:40:58",748
70,0,0,0,0,0,0,0,0,0,0,"2019-10-20 13:43:27",748
71,0,1,0,1,0,0,0,0,0,0,"2019-10-20 15:26:44",744
72,0,0,0,0,0,0,0,0,0,0,"2019-10-20 19:50:58",115
73,0,0,0,0,0,0,0,0,1,0,"2019-10-20 20:22:33",54
74,0,0,0,0,0,0,0,0,1,0,"2019-10-20 20:41:49",54
75,1,1,1,0,0,0,0,0,0,0,"2019-10-20 21:22:41",850
76,0,0,0,0,0,0,0,0,0,0,"2019-10-20 21:22:56",850
77,1,0,0,0,0,0,0,0,1,0,"2019-10-21 04:36:19",107
78,1,0,0,0,0,0,0,0,1,0,"2019-10-21 04:37:27",107
79,1,0,0,0,0,0,0,0,1,0,"2019-10-21 04:38:14",107
80,1,0,0,0,0,0,0,0,1,0,"2019-10-21 04:38:49",107
81,1,0,0,0,0,0,0,0,1,0,"2019-10-21 04:39:28",107
82,1,1,0,1,0,0,0,0,0,0,"2019-10-21 06:06:23",454
83,0,1,0,0,0,0,0,0,0,0,"2019-10-21 06:18:27",454
84,0,0,0,0,0,0,0,1,1,1,"2019-10-21 06:59:04",864
85,1,0,0,0,0,0,0,0,1,1,"2019-10-21 07:04:42",864
86,1,1,0,0,0,0,0,0,0,1,"2019-10-21 08:09:59",872
87,0,0,1,0,0,0,0,0,0,0,"2019-10-21 08:11:57",872
88,1,1,0,1,0,0,0,0,0,0,"2019-10-21 08:35:58",872
89,1,1,0,0,0,0,0,0,0,0,"2019-10-21 08:53:39",880
90,1,0,0,0,0,0,0,0,1,0,"2019-10-21 14:26:17",914
91,1,1,0,0,0,0,0,0,1,0,"2019-10-21 14:42:55",484
92,0,0,0,0,0,0,0,0,1,0,"2019-10-21 15:27:28",54
93,0,0,0,0,0,0,0,0,0,0,"2019-10-21 15:39:07",563
94,1,0,1,0,0,0,0,1,0,0,"2019-10-21 17:02:07",134
95,0,0,0,0,0,0,0,0,0,0,"2019-10-21 17:16:40",566
96,0,0,0,0,0,0,0,0,1,0,"2019-10-21 18:39:53",685
97,0,0,0,1,0,0,0,1,1,0,"2019-10-21 19:00:12",191
98,0,0,0,1,0,0,0,1,1,0,"2019-10-21 19:00:54",191
99,1,1,0,0,0,0,0,0,0,0,"2019-10-21 19:27:58",872
100,1,0,0,0,0,0,0,0,0,0,"2019-10-21 19:31:18",872
101,0,1,0,0,0,0,0,0,0,0,"2019-10-21 19:46:24",872
102,0,0,0,0,0,0,0,0,0,0,"2019-10-21 20:11:03",172
103,0,0,0,0,0,0,0,0,0,0,"2019-10-21 20:11:46",172
104,0,0,0,0,0,0,0,0,1,0,"2019-10-21 20:16:01",54
105,1,0,0,0,0,0,0,1,1,0,"2019-10-21 20:34:20",938
106,0,0,0,0,0,0,0,0,0,0,"2019-10-21 20:40:28",938
107,1,0,0,0,0,0,0,1,0,0,"2019-10-21 20:40:48",938
108,1,0,0,0,0,0,0,1,0,0,"2019-10-21 20:40:51",938
109,1,0,0,0,0,0,0,0,1,0,"2019-10-21 20:51:21",186
110,1,1,0,1,0,0,0,0,0,0,"2019-10-21 21:50:53",54
