"user_id","group","gender","age","edu","pol_knowledge","overconfidence","political_efficacy","pol_interest","overall_media_usage","news_topic_interest","div_trait","div_trait2","news_pref_strength","desirability_of_control","beh_int","first_login","last_visit","number_logins","number_stories_read","m_tv1","m_tv2","m_newspaper","m_computer","m_mobile","t_buit","t_bin","t_econ","t_crime","t_sport","t_ent","t_mil","t_imm","Diversity_1","Diversity_2","Diversity_3","Diversity_4","system_control","strategy_control","satisfaction","control_overall","avg_rating2"
265,1,2,35,6,4,-3,4,2,2.6,3.875,3,4,7,3.1,2,2019-10-17 06:50:11,2019-11-11 09:26:04,14,271,1,1,1,8,2,3,7,3,4,1,5,1,7,3,2,6,4,1.5,2.8,3.57142857142857,2.22222222222222,2.18450184501845
36,2,2,54,5,4,-3,3.33333333333333,4,3.6,3.375,0,5,5.5,3.8,2,2019-10-16 12:06:39,2019-10-25 14:08:18,14,92,5,3,6,3,1,4,4,3,3,4,1,4,4,6,6,6,6,3,3,4.57142857142857,3,2.77173913043478
611,1,2,62,5,5,0,3,5,5,4.625,6,6,4.75,3,4,2019-10-18 16:36:31,2019-10-28 11:54:34,17,179,6,6,3,5,5,5,5,5,3,3,6,5,5,5,4,6,5,5.25,5,5.71428571428571,5.11111111111111,2.67597765363128
286,1,2,54,5,7,-6,4,5,5.2,5.125,6,8,5.75,3.1,7,2019-10-17 08:00:18,2019-10-29 14:43:58,12,253,6,5,8,1,6,4,7,5,5,5,5,6,4,7,6,7,6,5.5,5.4,6.42857142857143,5.44444444444444,2.55533596837945
125,2,1,41,5,9,2,3.66666666666667,5,5.6,4.75,4,6,5,4.5,5,2019-10-16 18:11:05,2019-11-12 19:52:47,11,72,7,6,5,5,5,5,7,3,7,4,6,2,4,5,5,6,4,4,4.4,5.71428571428571,4.22222222222222,2.65972222222222
337,1,1,60,7,7,-5,5.66666666666667,6,6.8,5.75,6,8,5.75,3.1,6,2019-10-17 10:25:42,2019-10-30 18:55:39,14,51,7,7,8,4,8,7,6,7,4,5,4,7,6,6,4,6,5,2.5,3.6,5.57142857142857,3.11111111111111,3.91176470588235
54,4,2,45,6,8,-4,4,5,5,5.125,5,7,7,3,7,2019-10-16 14:23:51,2019-10-24 17:03:46,15,159,5,7,4,1,8,4,4,5,5,3,7,6,7,6,4,7,6,3,4.8,5.85714285714286,4,2.06918238993711
15,2,1,27,6,9,-6,4.33333333333333,4,4.6,3.125,3,4,5.75,3.2,2,2019-10-16 10:32:23,2019-10-29 10:39:15,12,103,4,3,3,8,5,4,5,5,2,5,1,1,2,4,3,4,4,2.5,4.8,4.14285714285714,3.77777777777778,2.11650485436893
796,2,2,68,5,5,-1,3.66666666666667,4,4.6,4.125,2,5,5.25,2,4,2019-10-20 08:31:59,2019-12-11 05:27:37,14,102,6,4,6,6,1,4,6,4,2,3,3,7,4,5,3,5,5,2,3,4.85714285714286,2.55555555555556,1.92156862745098
743,3,1,67,4,6,-5,3.66666666666667,5,6.8,5.875,7,8,6,2.8,6,2019-10-19 14:12:11,2019-12-15 14:17:45,10,113,8,5,8,8,5,6,7,6,5,7,4,6,6,6,4,7,4,6,5.8,6.71428571428571,5.88888888888889,3.92035398230089
792,3,1,37,7,7,1,5.33333333333333,6,4.4,3.125,2,2,5.25,3.6,5,2019-10-20 08:03:57,2019-12-02 06:39:46,18,42,5,5,2,4,6,3,5,5,2,2,3,2,3,4,4,6,5,4,4.2,4.42857142857143,4.11111111111111,1.95238095238095
721,4,2,62,6,3,2,5.33333333333333,5,3.6,3.625,3,5,5.5,2.6,6,2019-10-19 10:31:26,2019-10-26 09:59:43,15,77,7,6,1,2,2,5,6,4,4,1,2,2,5,7,6,6,6,4.25,5,5.14285714285714,4.66666666666667,3.22077922077922
17,2,1,46,7,6,-5,4.33333333333333,4,4.2,3,1,1,4,3.9,5,2019-10-16 10:41:36,2019-10-29 15:11:44,12,54,3,3,4,5,6,3,3,2,2,5,3,3,3,3,4,3,5,3.5,3.6,4.42857142857143,3.55555555555556,1.08333333333333
384,3,1,62,6,8,-6,5.66666666666667,6,7,5.625,6,7,6,2.9,2,2019-10-17 12:51:38,2019-11-28 13:21:11,17,127,8,8,7,5,7,6,7,7,4,7,2,7,5,4,3,3,5,2.75,2.2,3.57142857142857,2.44444444444444,2.03543307086614
1030,1,1,61,5,5,-3,3.33333333333333,3,3.8,3,1,1,5.25,3.1,4,2019-10-28 15:39:37,2019-11-10 10:02:57,16,140,2,3,6,6,2,3,3,3,2,6,2,3,2,2,5,4,3,3.25,3.6,3.85714285714286,3.44444444444444,1.96428571428571
